Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
2007-08-10,03:44:00,0.244,0.0,241.59,1.0,0.0,0.0,0.0
2010-03-15,08:28:00,1.416,0.094,240.48,5.8,0.0,0.0,18.0
2008-08-07,04:55:00,0.24,0.126,239.36,1.0,0.0,0.0,1.0
2009-06-08,20:08:00,0.916,0.226,238.59,3.8,0.0,0.0,13.0
2010-11-24,14:54:00,1.402,0.05,239.91,5.8,0.0,0.0,18.0
2008-08-09,17:21:00,0.242,0.106,242.93,1.0,0.0,2.0,0.0
2009-10-21,11:40:00,2.636,0.0,239.51,11.0,0.0,40.0,1.0
2009-05-01,15:18:00,0.29,0.054,246.42,1.2,0.0,0.0,0.0
2007-06-01,15:19:00,0.828,0.0,240.85,3.6,0.0,0.0,0.0
2010-04-23,10:34:00,1.606,0.164,240.17,6.6,0.0,1.0,18.0
2010-06-08,11:21:00,0.244,0.104,239.56,1.0,0.0,2.0,1.0
2010-05-07,07:50:00,1.246,0.0,238.77,5.2,0.0,0.0,18.0
2007-11-30,01:43:00,1.574,0.056,239.69,6.6,0.0,0.0,18.0
2009-03-20,04:44:00,0.314,0.098,243.0,1.4,0.0,0.0,0.0
2008-02-08,09:59:00,0.234,0.122,237.71,1.0,0.0,0.0,1.0
2006-12-26,08:36:00,1.33,0.166,241.31,5.4,0.0,0.0,0.0
2007-10-18,07:01:00,1.584,0.076,238.49,6.6,0.0,0.0,17.0
2008-09-28,19:07:00,0.548,0.2,241.13,2.6,0.0,0.0,3.0
2009-07-07,09:40:00,0.212,0.124,243.73,1.0,0.0,1.0,1.0
2010-01-03,11:32:00,4.3,0.176,238.17,18.4,32.0,1.0,18.0
2009-05-13,03:26:00,0.38,0.068,240.99,1.6,0.0,0.0,0.0
2010-11-16,05:55:00,0.306,0.084,241.84,1.2,0.0,1.0,0.0
2008-01-19,04:53:00,0.41,0.238,243.87,1.8,0.0,2.0,0.0
2007-02-02,09:16:00,1.344,0.07,238.96,5.6,0.0,0.0,18.0
2007-10-27,12:43:00,2.01,0.222,239.79,8.4,2.0,0.0,18.0
2010-10-15,05:46:00,0.434,0.194,242.24,2.0,0.0,2.0,1.0
2009-12-06,04:26:00,0.506,0.24,242.93,2.2,0.0,1.0,0.0
2007-06-07,00:06:00,0.906,0.348,241.74,5.6,12.0,2.0,0.0
2009-11-20,16:56:00,0.656,0.064,240.2,2.8,0.0,0.0,0.0
2007-03-24,16:14:00,1.44,0.058,244.66,5.8,0.0,2.0,18.0
2010-05-14,21:15:00,0.686,0.116,243.94,2.8,0.0,0.0,1.0
2009-11-27,08:14:00,1.406,0.0,241.09,5.8,0.0,0.0,19.0
2007-10-27,05:22:00,0.502,0.086,240.24,2.4,0.0,0.0,0.0
2007-05-12,23:28:00,0.47,0.1,245.78,2.2,0.0,0.0,0.0
2009-03-12,18:48:00,0.632,0.0,241.62,2.6,0.0,0.0,0.0
2007-07-21,07:55:00,1.36,0.062,232.61,5.8,0.0,1.0,17.0
2008-05-11,07:39:00,1.634,0.046,242.7,6.8,0.0,0.0,0.0
2007-08-28,02:03:00,0.206,0.118,237.88,1.0,0.0,0.0,0.0
2010-05-30,04:56:00,0.352,0.0,241.71,1.4,0.0,0.0,0.0
2007-12-07,03:51:00,0.2,0.082,241.21,1.0,0.0,0.0,0.0
2007-09-08,17:00:00,0.102,0.0,234.45,0.4,0.0,0.0,0.0
2009-09-02,09:59:00,1.296,0.06,242.15,5.2,0.0,0.0,18.0
2007-11-04,17:08:00,0.318,0.136,244.77,1.4,0.0,0.0,0.0
2008-11-10,06:47:00,0.384,0.072,239.11,1.6,0.0,0.0,0.0
2010-02-27,10:29:00,1.786,0.074,241.22,7.4,0.0,0.0,18.0
2008-07-11,08:45:00,1.376,0.0,238.21,5.8,0.0,0.0,17.0
2010-11-13,10:49:00,0.514,0.0,237.33,2.2,0.0,0.0,0.0
2008-01-31,13:53:00,0.498,0.078,242.13,2.4,0.0,0.0,0.0
2008-07-16,07:55:00,0.224,0.098,239.76,1.0,0.0,0.0,0.0
2008-04-19,02:00:00,0.38,0.13,244.31,1.6,0.0,0.0,0.0
2008-03-21,12:53:00,0.728,0.208,242.95,3.0,0.0,0.0,0.0
2007-09-05,12:39:00,1.2,0.16,233.53,6.4,0.0,0.0,0.0
2009-08-27,20:50:00,1.542,0.17,241.29,6.4,0.0,0.0,1.0
2009-09-13,05:49:00,0.132,0.0,241.37,0.6,0.0,0.0,0.0
2008-01-23,12:47:00,1.408,0.0,242.78,5.8,0.0,0.0,18.0
2008-11-04,02:26:00,0.366,0.124,244.4,1.6,0.0,0.0,1.0
2007-03-14,23:54:00,0.95,0.132,241.77,4.0,0.0,0.0,0.0
2008-08-04,11:06:00,2.392,0.396,242.86,10.0,0.0,3.0,19.0
2010-05-07,13:49:00,0.412,0.178,242.65,1.8,0.0,0.0,1.0
2007-04-15,18:29:00,0.308,0.252,239.13,1.6,0.0,2.0,0.0
2010-06-30,02:38:00,0.646,0.182,240.7,2.8,0.0,1.0,1.0
2007-03-08,08:54:00,1.202,0.0,233.04,5.0,0.0,0.0,16.0
2010-06-08,01:07:00,0.234,0.09,241.17,1.0,0.0,0.0,1.0
2010-09-30,20:41:00,0.466,0.196,242.73,2.2,0.0,1.0,0.0
2010-04-07,15:15:00,0.274,0.12,241.21,1.2,0.0,0.0,1.0
2007-08-15,19:53:00,0.108,0.0,242.92,0.4,0.0,0.0,0.0
2008-09-26,10:21:00,1.202,0.0,239.13,5.0,0.0,0.0,18.0
2009-01-06,07:22:00,0.14,0.0,242.73,0.6,0.0,0.0,0.0
2007-05-14,02:48:00,0.28,0.096,237.22,1.2,0.0,0.0,0.0
2009-08-30,08:32:00,0.194,0.0,241.28,0.8,0.0,0.0,1.0
2008-08-10,17:58:00,0.5,0.05,240.01,2.0,0.0,2.0,0.0
2007-01-23,02:57:00,0.502,0.136,245.7,2.2,0.0,0.0,0.0
2009-11-06,00:18:00,0.446,0.116,244.32,1.8,0.0,0.0,0.0
2010-07-07,03:30:00,0.236,0.084,242.87,1.0,0.0,2.0,1.0
2010-11-11,04:17:00,0.342,0.074,245.02,1.4,0.0,0.0,1.0
2008-01-21,10:45:00,1.576,0.078,236.52,6.6,0.0,0.0,17.0
2009-05-25,15:43:00,0.46,0.0,237.36,2.0,0.0,1.0,0.0
2008-05-13,22:54:00,1.398,0.216,240.41,5.8,0.0,1.0,0.0
2010-05-19,00:45:00,0.454,0.072,244.33,1.8,0.0,0.0,1.0
2009-12-09,08:17:00,2.104,0.362,238.78,8.8,0.0,1.0,29.0
2010-11-25,06:23:00,0.31,0.064,245.65,1.2,0.0,0.0,0.0
2007-03-04,00:26:00,0.388,0.204,239.97,1.8,0.0,0.0,0.0
2010-01-18,20:58:00,1.734,0.222,239.09,7.2,0.0,0.0,1.0
2010-11-19,09:11:00,1.332,0.058,244.97,5.4,0.0,0.0,18.0
2007-12-25,20:47:00,4.918,0.096,238.08,20.6,38.0,0.0,18.0
2010-08-07,07:08:00,1.372,0.082,240.14,5.6,0.0,0.0,18.0
2008-10-23,18:36:00,0.306,0.08,238.61,1.2,0.0,2.0,0.0
2007-03-28,09:27:00,1.328,0.0,238.17,5.6,1.0,0.0,18.0
2007-12-21,23:17:00,0.342,0.1,243.21,1.4,0.0,0.0,0.0
2008-06-11,15:01:00,0.468,0.062,242.51,2.4,0.0,0.0,0.0
2008-11-02,17:05:00,0.22,0.0,242.87,0.8,0.0,0.0,0.0
2008-03-14,16:24:00,1.616,0.0,240.46,6.6,0.0,2.0,18.0
2009-01-18,20:28:00,2.64,0.0,238.53,11.0,0.0,6.0,17.0
2008-03-09,15:47:00,1.582,0.188,243.09,6.4,0.0,2.0,19.0
2007-06-02,04:45:00,0.224,0.0,240.4,1.0,0.0,0.0,0.0
2009-06-05,23:05:00,0.418,0.098,243.27,1.8,0.0,1.0,1.0
2009-04-28,11:25:00,1.39,0.0,237.97,5.8,0.0,0.0,18.0
2009-12-11,15:26:00,0.346,0.124,248.0,1.4,0.0,0.0,1.0
2010-05-10,08:27:00,2.032,0.288,237.52,8.8,0.0,0.0,27.0
2010-09-09,06:56:00,1.352,0.052,240.87,5.6,0.0,0.0,18.0
2009-10-30,19:03:00,0.684,0.062,239.8,2.8,0.0,0.0,1.0
2007-07-27,08:25:00,3.208,0.0,229.57,13.8,36.0,0.0,16.0
2010-04-09,17:03:00,0.378,0.286,243.53,2.0,0.0,0.0,1.0
2009-10-28,13:41:00,1.384,0.106,240.84,5.6,0.0,0.0,18.0
2008-02-28,17:41:00,0.212,0.0,239.52,0.8,0.0,0.0,0.0
2010-05-11,00:07:00,0.368,0.084,249.04,1.6,0.0,0.0,0.0
2010-05-29,01:03:00,0.486,0.0,241.15,2.0,0.0,0.0,1.0
2010-01-21,03:33:00,0.24,0.0,243.94,1.0,0.0,0.0,1.0
2009-08-28,09:46:00,1.264,0.09,237.81,5.2,0.0,0.0,18.0
2007-08-24,05:43:00,0.114,0.0,242.38,0.6,0.0,0.0,0.0
2009-05-02,08:11:00,1.348,0.106,240.65,5.6,0.0,0.0,18.0
2009-04-02,13:43:00,0.602,0.22,246.56,2.6,0.0,2.0,0.0
2010-03-06,20:48:00,0.252,0.0,241.13,1.0,0.0,0.0,1.0
2010-02-17,00:01:00,0.414,0.046,242.67,1.6,0.0,1.0,1.0
2010-07-24,12:16:00,0.636,0.092,240.53,2.6,0.0,2.0,1.0
2010-04-04,03:04:00,1.51,0.226,245.19,6.2,0.0,1.0,19.0
2008-06-12,04:18:00,0.386,0.214,245.61,1.8,0.0,2.0,0.0
2009-02-27,00:21:00,0.384,0.19,241.55,1.8,0.0,0.0,0.0
2009-10-10,09:52:00,1.282,0.0,238.49,5.2,0.0,0.0,19.0
2008-12-14,03:45:00,0.274,0.0,246.06,1.2,0.0,0.0,0.0
2008-03-31,09:50:00,1.446,0.194,239.62,6.0,0.0,0.0,17.0
2008-09-13,11:54:00,0.456,0.084,241.78,2.0,0.0,1.0,1.0
2008-07-26,05:31:00,0.654,0.064,239.74,3.0,0.0,0.0,8.0
2009-02-08,15:04:00,0.378,0.362,241.43,2.0,0.0,2.0,0.0
2008-02-07,23:07:00,1.214,0.354,236.92,5.2,1.0,0.0,12.0
2007-06-07,05:45:00,1.27,0.076,240.53,5.2,0.0,0.0,18.0
2008-05-23,06:49:00,1.71,0.116,239.73,7.0,0.0,0.0,19.0
2009-09-02,14:59:00,0.914,0.046,247.46,3.8,0.0,0.0,0.0
2010-07-29,13:15:00,1.024,0.444,240.42,4.6,0.0,1.0,12.0
2009-01-02,22:20:00,1.174,0.394,244.87,5.0,0.0,1.0,0.0
2010-06-17,14:47:00,0.296,0.058,239.77,1.2,0.0,0.0,1.0
2007-01-13,20:46:00,3.596,0.404,235.77,15.2,1.0,0.0,17.0
2007-02-05,16:35:00,0.308,0.242,238.31,1.6,0.0,2.0,0.0
2009-03-09,16:18:00,0.392,0.122,241.98,1.8,0.0,0.0,1.0
2008-04-28,16:32:00,0.256,0.0,243.35,1.0,0.0,0.0,0.0
2008-07-15,10:24:00,0.284,0.112,239.53,1.2,0.0,1.0,0.0
2010-12-03,19:16:00,3.786,0.0,236.31,16.4,27.0,0.0,18.0
2010-05-25,08:50:00,2.27,0.274,239.21,9.4,0.0,0.0,30.0
2010-11-10,13:39:00,0.532,0.276,238.59,2.4,0.0,1.0,0.0
2007-11-28,06:18:00,0.288,0.0,244.27,1.2,0.0,0.0,0.0
2009-01-04,05:36:00,0.224,0.0,244.93,1.0,0.0,0.0,0.0
2010-06-23,07:27:00,1.414,0.0,238.7,6.0,0.0,0.0,18.0
2008-11-20,20:27:00,3.128,0.0,235.32,13.2,0.0,0.0,17.0
2009-04-21,02:22:00,1.378,0.076,241.35,5.6,0.0,0.0,0.0
2008-01-16,14:46:00,1.972,0.402,242.36,9.0,1.0,21.0,0.0
2008-04-10,00:54:00,0.378,0.09,242.08,1.6,1.0,0.0,1.0
2008-11-24,19:47:00,2.156,0.0,240.71,9.2,0.0,0.0,0.0
2007-04-25,21:11:00,2.172,0.188,233.3,9.4,0.0,0.0,16.0
2010-11-16,18:20:00,2.096,0.066,237.0,8.8,0.0,0.0,17.0
2008-05-11,13:29:00,3.612,0.476,238.22,15.8,1.0,14.0,17.0
2009-11-16,16:50:00,0.362,0.15,243.68,1.6,0.0,1.0,0.0
2007-11-27,21:59:00,3.118,0.0,236.24,13.2,0.0,0.0,17.0
2009-06-26,04:52:00,0.14,0.0,243.94,0.6,0.0,0.0,1.0
2007-05-10,13:37:00,1.288,0.066,237.88,5.4,0.0,0.0,17.0
2008-10-23,18:55:00,0.228,0.0,236.36,1.0,0.0,0.0,1.0
2010-03-02,22:08:00,4.254,0.112,233.8,18.4,2.0,34.0,17.0
2008-06-08,11:13:00,0.158,0.12,239.55,0.8,0.0,0.0,0.0
2007-05-22,16:34:00,0.304,0.074,236.66,1.2,0.0,0.0,0.0
2010-06-19,02:20:00,0.416,0.152,243.08,2.0,0.0,0.0,3.0
2007-04-07,22:40:00,0.402,0.422,241.16,2.4,1.0,1.0,0.0
2007-02-03,13:52:00,0.216,0.0,240.66,0.8,0.0,0.0,0.0
2008-09-05,22:35:00,0.87,0.106,242.01,3.6,0.0,0.0,1.0
2010-07-14,21:00:00,2.358,0.334,236.16,10.0,0.0,1.0,29.0
2009-04-03,17:31:00,1.072,0.226,241.18,4.6,0.0,0.0,0.0
2007-02-04,09:30:00,1.588,0.182,237.11,6.6,0.0,0.0,17.0
2008-05-02,09:23:00,3.78,0.07,234.78,16.0,37.0,0.0,17.0
2009-01-21,20:36:00,1.83,0.114,239.83,7.6,0.0,0.0,17.0
2008-06-10,23:11:00,2.008,0.19,239.58,8.4,0.0,0.0,19.0
2010-01-26,15:56:00,0.722,0.046,247.71,2.8,0.0,0.0,1.0
2009-01-28,10:08:00,1.692,0.066,244.07,6.8,0.0,0.0,18.0
2010-01-16,18:26:00,1.054,0.364,239.57,4.6,0.0,1.0,1.0
2010-12-06,11:34:00,0.176,0.0,242.13,0.8,0.0,0.0,0.0
2007-08-23,02:13:00,0.108,0.0,241.52,0.4,0.0,0.0,0.0
2010-02-05,03:46:00,0.328,0.088,241.96,1.4,0.0,1.0,1.0
2010-02-01,23:10:00,0.758,0.134,247.7,3.0,0.0,0.0,1.0
2007-05-24,21:08:00,1.996,0.068,233.51,8.8,0.0,21.0,0.0
2009-02-24,03:47:00,0.508,0.342,243.93,2.4,0.0,1.0,0.0
2008-12-06,20:27:00,2.748,0.2,240.41,11.8,1.0,2.0,18.0
2009-03-26,21:32:00,1.564,0.088,243.07,6.4,0.0,0.0,0.0
2010-10-22,13:49:00,1.356,0.06,243.86,5.4,0.0,0.0,19.0
2009-01-27,15:22:00,0.304,0.0,247.47,1.2,0.0,0.0,0.0
2009-10-05,11:28:00,0.546,0.11,240.9,2.6,0.0,0.0,1.0
2010-09-15,16:44:00,0.256,0.074,241.06,1.2,0.0,1.0,1.0
2007-11-23,20:56:00,4.552,0.188,237.79,19.2,39.0,0.0,0.0
2010-04-25,07:35:00,0.416,0.24,241.28,2.0,0.0,1.0,0.0
2008-09-29,05:47:00,1.376,0.096,238.51,5.8,0.0,0.0,18.0
2009-09-09,08:42:00,1.278,0.076,241.13,5.2,0.0,0.0,18.0
2007-06-11,05:16:00,0.224,0.0,241.05,1.0,0.0,0.0,0.0
2009-05-30,01:39:00,0.48,0.094,241.95,2.0,0.0,0.0,1.0
2009-01-11,02:33:00,0.394,0.23,246.09,1.8,0.0,0.0,1.0
2007-06-15,06:56:00,2.278,0.178,238.58,9.6,0.0,0.0,17.0
2007-02-10,12:52:00,1.43,0.126,236.98,6.0,0.0,2.0,17.0
2008-11-12,11:29:00,1.394,0.05,244.05,5.6,0.0,0.0,18.0
2009-03-25,01:38:00,0.288,0.074,241.66,1.2,0.0,0.0,0.0
2008-03-22,22:40:00,1.84,0.082,240.42,7.6,0.0,0.0,18.0
2008-08-25,04:59:00,0.17,0.142,241.7,0.8,0.0,1.0,1.0
2009-09-28,13:40:00,0.988,0.344,239.43,4.4,0.0,0.0,12.0
2006-12-17,00:31:00,1.952,0.05,242.07,8.8,0.0,0.0,0.0
2009-01-01,03:21:00,0.484,0.06,246.89,2.2,0.0,0.0,0.0
2008-09-05,18:57:00,3.818,0.238,235.32,16.2,38.0,0.0,18.0
2009-04-10,04:56:00,0.852,0.268,241.85,3.6,0.0,0.0,11.0
2008-08-17,20:51:00,0.082,0.0,242.15,0.2,0.0,0.0,1.0
2009-08-05,15:27:00,3.698,0.056,239.05,15.4,38.0,1.0,18.0
2010-09-23,05:04:00,0.142,0.056,240.07,0.6,0.0,0.0,1.0
2010-01-16,14:07:00,1.636,0.0,244.16,6.6,0.0,1.0,19.0
2009-05-19,14:47:00,0.34,0.102,240.12,1.4,0.0,0.0,0.0
2007-02-02,19:02:00,2.6,0.31,234.92,11.0,0.0,2.0,17.0
2010-01-03,02:16:00,0.248,0.0,244.51,1.0,0.0,0.0,0.0
2010-09-11,20:26:00,4.36,0.0,229.45,19.4,30.0,1.0,17.0
2007-10-22,18:26:00,0.442,0.226,240.43,2.0,0.0,1.0,0.0
2008-07-06,02:27:00,0.646,0.22,241.27,2.8,0.0,0.0,1.0
2009-01-22,02:30:00,0.288,0.05,248.12,1.2,0.0,0.0,0.0
2010-04-04,04:27:00,0.406,0.224,246.44,1.8,0.0,1.0,0.0
2009-09-29,20:15:00,1.798,0.172,237.42,7.6,1.0,0.0,1.0
2009-08-12,09:32:00,1.522,0.0,243.94,6.2,0.0,0.0,18.0
2008-05-20,17:48:00,0.246,0.134,242.76,1.2,0.0,1.0,1.0
2009-05-07,17:19:00,1.584,0.28,241.6,6.6,0.0,1.0,13.0
2008-12-02,13:12:00,1.932,0.062,236.27,8.2,0.0,0.0,17.0
2007-01-03,12:49:00,0.39,0.23,241.54,1.8,0.0,0.0,0.0
2007-01-02,07:23:00,2.206,0.09,239.79,9.2,0.0,0.0,17.0
2009-02-27,19:36:00,1.426,0.048,241.87,5.8,0.0,0.0,18.0
2007-12-21,10:04:00,3.544,0.0,236.12,15.0,37.0,0.0,18.0
2008-03-10,13:44:00,0.304,0.072,240.69,1.2,0.0,0.0,0.0
2008-01-25,16:04:00,1.5,0.056,240.32,6.2,0.0,0.0,17.0
2008-01-14,03:22:00,0.226,0.0,246.33,1.0,0.0,0.0,0.0
2007-04-09,16:51:00,0.81,0.32,239.08,3.8,0.0,5.0,0.0
2009-12-08,20:40:00,1.486,0.428,243.7,7.0,0.0,2.0,1.0
2010-07-04,15:35:00,0.23,0.0,242.62,1.0,0.0,0.0,0.0
2008-08-24,22:55:00,0.336,0.392,243.58,2.0,0.0,1.0,1.0
2010-11-07,23:00:00,2.78,0.168,239.87,11.6,1.0,0.0,19.0
2007-07-27,04:30:00,0.228,0.104,237.23,1.0,0.0,0.0,0.0
2009-04-25,06:50:00,0.402,0.204,241.71,1.8,0.0,0.0,1.0
2009-04-07,17:35:00,1.578,0.368,239.49,6.8,1.0,1.0,18.0
2010-01-07,04:59:00,0.35,0.178,241.57,1.6,0.0,1.0,0.0
2009-07-15,22:41:00,0.272,0.188,244.4,1.4,0.0,2.0,1.0
2010-01-15,19:24:00,1.998,0.5,240.51,8.6,0.0,0.0,0.0
2007-08-08,18:31:00,0.17,0.0,236.63,0.8,0.0,0.0,0.0
2008-06-25,23:09:00,2.898,0.088,239.38,12.0,38.0,0.0,1.0
2009-05-01,15:37:00,0.29,0.052,247.64,1.2,0.0,0.0,0.0
2010-08-26,07:43:00,1.326,0.046,238.72,5.4,0.0,0.0,18.0
2010-10-15,16:46:00,0.406,0.062,242.93,1.6,0.0,1.0,0.0
2009-12-05,01:21:00,0.39,0.072,241.61,1.6,0.0,0.0,1.0
2008-03-25,15:36:00,1.642,0.124,245.94,6.6,0.0,4.0,19.0
2010-07-05,13:14:00,0.54,0.06,236.38,2.2,0.0,0.0,0.0
2007-03-03,05:12:00,0.218,0.0,242.51,0.8,0.0,0.0,0.0
2008-11-04,11:11:00,1.3,0.0,238.98,5.4,0.0,0.0,18.0
2008-12-14,08:56:00,2.902,0.0,238.89,12.2,0.0,0.0,18.0
2007-07-11,22:58:00,1.868,0.15,242.84,7.6,0.0,0.0,19.0
2009-11-01,15:51:00,0.43,0.116,246.95,1.8,0.0,0.0,0.0
2007-10-28,03:17:00,0.378,0.212,241.0,1.8,0.0,0.0,0.0
2008-08-26,23:50:00,0.242,0.254,243.92,1.4,0.0,2.0,1.0
2009-04-10,19:56:00,2.934,0.108,237.86,12.2,0.0,0.0,18.0
2009-11-06,17:05:00,0.396,0.0,242.63,1.8,0.0,0.0,1.0
2007-12-07,05:01:00,0.234,0.122,242.07,1.0,0.0,0.0,0.0
2010-09-20,18:10:00,0.316,0.078,241.71,1.4,0.0,1.0,0.0
2007-02-01,18:15:00,2.956,0.754,237.01,13.0,0.0,1.0,17.0
2010-07-09,06:28:00,0.242,0.0,242.92,1.0,0.0,0.0,1.0
2007-10-05,06:39:00,0.116,0.0,239.1,0.6,0.0,0.0,0.0
2007-05-19,18:16:00,2.41,0.054,231.69,10.4,0.0,0.0,17.0
2007-03-20,18:40:00,0.332,0.0,239.66,1.4,0.0,0.0,0.0
2008-06-23,20:28:00,1.332,0.1,239.25,5.6,0.0,0.0,18.0
2009-03-11,11:56:00,0.986,0.162,241.66,4.0,0.0,0.0,1.0
2008-08-02,21:48:00,1.524,0.222,237.05,6.4,0.0,2.0,0.0
2010-08-26,22:30:00,0.186,0.0,242.12,0.8,0.0,0.0,1.0
2009-09-18,01:58:00,0.274,0.098,241.53,1.2,0.0,0.0,0.0
2007-11-27,13:18:00,3.598,0.118,238.06,15.0,0.0,36.0,17.0
2010-08-06,15:59:00,0.49,0.058,241.09,2.0,0.0,0.0,1.0
2008-07-30,17:28:00,0.44,0.122,238.66,2.2,0.0,0.0,1.0
2010-09-16,18:53:00,1.644,0.316,239.65,7.0,0.0,1.0,12.0
2009-08-12,03:52:00,0.25,0.0,245.31,1.0,0.0,0.0,1.0
2010-05-30,00:39:00,0.632,0.124,242.28,2.6,1.0,0.0,1.0
2010-01-09,10:08:00,0.406,0.232,243.55,2.0,0.0,1.0,0.0
2008-06-20,10:23:00,1.408,0.222,236.8,6.0,0.0,1.0,17.0
2009-04-30,17:20:00,0.382,0.0,245.0,1.8,0.0,0.0,1.0
2007-07-26,15:28:00,0.124,0.0,234.92,0.6,0.0,0.0,0.0
2006-12-17,22:27:00,1.652,0.308,241.7,7.0,0.0,0.0,0.0
2010-02-15,13:54:00,1.424,0.0,244.62,5.8,0.0,0.0,19.0
2007-01-16,03:03:00,0.268,0.052,244.82,1.2,0.0,0.0,0.0
2009-04-16,00:34:00,0.422,0.12,243.83,1.8,0.0,1.0,0.0
2008-06-20,11:33:00,1.382,0.216,241.17,5.8,0.0,0.0,19.0
2009-09-07,17:54:00,0.874,0.226,242.62,3.6,0.0,0.0,1.0
2010-09-30,12:06:00,0.492,0.308,245.15,2.2,0.0,1.0,0.0
2009-10-10,01:34:00,0.266,0.0,242.15,1.0,0.0,0.0,1.0
2010-01-10,06:12:00,0.416,0.182,243.55,1.8,0.0,0.0,0.0
2009-05-14,05:27:00,0.234,0.0,240.96,1.0,0.0,0.0,1.0
2007-12-13,23:59:00,0.366,0.096,242.63,1.6,0.0,0.0,0.0
2009-07-04,13:34:00,0.266,0.0,241.39,1.2,0.0,0.0,0.0
2008-11-19,02:26:00,0.372,0.092,246.27,1.6,0.0,0.0,0.0
2009-06-07,07:31:00,1.252,0.0,239.22,5.2,0.0,0.0,18.0
2010-04-05,05:47:00,0.336,0.092,234.62,1.4,0.0,0.0,0.0
2009-11-24,15:32:00,0.974,0.0,244.39,4.0,0.0,0.0,0.0
2008-02-04,01:40:00,0.306,0.09,242.94,1.2,0.0,0.0,0.0
2008-07-04,05:33:00,0.258,0.0,242.8,1.0,0.0,0.0,1.0
2008-08-31,14:43:00,1.278,0.222,237.37,5.4,0.0,1.0,18.0
2007-01-22,10:55:00,1.28,0.0,240.02,5.2,0.0,0.0,18.0
2008-06-07,18:05:00,1.84,0.418,239.22,7.8,1.0,2.0,18.0
2008-07-03,11:37:00,3.498,0.158,237.52,15.2,0.0,16.0,17.0
2007-03-17,18:29:00,2.016,0.086,237.6,8.4,0.0,0.0,17.0
2010-07-06,12:23:00,0.25,0.076,243.36,1.0,0.0,0.0,0.0
2009-09-05,05:24:00,0.478,0.244,243.27,2.2,0.0,1.0,1.0
2010-10-04,20:19:00,0.616,0.07,243.51,2.6,0.0,0.0,1.0
2010-11-14,13:02:00,0.986,0.254,237.32,4.2,0.0,0.0,0.0
2007-12-10,11:19:00,0.73,0.0,237.33,3.0,0.0,1.0,0.0
2008-03-03,08:47:00,0.566,0.082,237.56,2.4,0.0,1.0,0.0
2007-07-17,11:24:00,0.222,0.092,231.8,1.0,0.0,0.0,0.0
2009-01-31,00:05:00,1.338,0.066,244.85,5.4,0.0,0.0,18.0
2009-07-03,05:21:00,0.264,0.0,244.69,1.2,0.0,0.0,0.0
2007-03-02,09:35:00,0.39,0.116,244.37,1.8,0.0,0.0,0.0
