Global_active_power,Global_reactive_power,Voltage,Sub_metering_2,Sub_metering_3,Energy_consumption,day,month,hour,min
1.416,0.094,240.48,0.0,18.0,5.600000000000001,15.0,3.0,8.0,28
0.24,0.126,239.36,0.0,1.0,3.0,7.0,8.0,4.0,55
0.916,0.226,238.59,0.0,13.0,2.2666666666666675,8.0,6.0,20.0,8
1.402,0.05,239.91,0.0,18.0,5.366666666666667,24.0,11.0,14.0,54
0.242,0.106,242.93,2.0,0.0,2.033333333333333,9.0,8.0,17.0,21
2.636,0.0,239.51,5.0,1.0,2.93333333333333,21.0,10.0,11.0,40
0.29,0.054,246.42,0.0,0.0,4.833333333333333,1.0,5.0,15.0,18
0.828,0.0,240.85,0.0,0.0,13.8,1.0,6.0,15.0,19
1.606,0.164,240.17,1.0,18.0,7.766666666666666,23.0,4.0,10.0,34
0.244,0.104,239.56,2.0,1.0,1.0666666666666664,8.0,6.0,11.0,21
1.246,0.0,238.77,0.0,18.0,2.7666666666666657,7.0,5.0,7.0,50
1.574,0.056,239.69,0.0,18.0,8.233333333333334,30.0,11.0,1.0,43
0.314,0.098,243.0,0.0,0.0,5.233333333333333,20.0,3.0,4.0,44
0.234,0.122,237.71,0.0,1.0,2.9,8.0,2.0,9.0,59
1.33,0.166,241.31,0.0,0.0,20.05,26.0,12.0,8.0,36
1.584,0.076,238.49,0.0,17.0,9.399999999999999,18.0,10.0,7.0,1
0.548,0.2,241.13,0.0,3.0,6.133333333333333,28.0,9.0,19.0,7
0.212,0.124,243.73,1.0,1.0,1.5333333333333332,7.0,7.0,9.0,40
3.3529999999999998,0.176,238.17,1.0,18.0,20.05,3.0,1.0,11.0,32
0.38,0.068,240.99,0.0,0.0,6.333333333333333,13.0,5.0,3.0,26
0.306,0.084,241.84,1.0,0.0,4.1,16.0,11.0,5.0,55
0.41,0.238,243.87,2.0,0.0,4.833333333333333,19.0,1.0,4.0,53
1.344,0.07,238.96,0.0,18.0,4.399999999999999,2.0,2.0,9.0,16
2.01,0.222,239.79,0.0,18.0,13.499999999999993,27.0,10.0,12.0,43
0.434,0.194,242.24,2.0,1.0,4.233333333333333,15.0,10.0,5.0,46
0.506,0.24,242.93,1.0,0.0,7.433333333333334,6.0,12.0,4.0,26
0.906,0.348,241.74,2.0,0.0,1.0999999999999996,7.0,6.0,0.0,6
0.656,0.064,240.2,0.0,0.0,10.933333333333334,20.0,11.0,16.0,56
1.44,0.058,244.66,2.0,18.0,4.0,24.0,3.0,16.0,14
0.686,0.116,243.94,0.0,1.0,10.433333333333334,14.0,5.0,21.0,15
1.406,0.0,241.09,0.0,19.0,4.433333333333334,27.0,11.0,8.0,14
0.502,0.086,240.24,0.0,0.0,8.366666666666667,27.0,10.0,5.0,22
0.47,0.1,245.78,0.0,0.0,7.833333333333333,12.0,5.0,23.0,28
0.632,0.0,241.62,0.0,0.0,10.533333333333333,12.0,3.0,18.0,48
1.36,0.062,233.14999999999998,1.0,17.0,4.666666666666668,21.0,7.0,7.0,55
1.634,0.046,242.7,0.0,0.0,20.05,11.0,5.0,7.0,39
0.206,0.118,237.88,0.0,0.0,3.433333333333333,28.0,8.0,2.0,3
0.352,0.0,241.71,0.0,0.0,5.866666666666666,30.0,5.0,4.0,56
0.2,0.082,241.21,0.0,0.0,3.3333333333333335,7.0,12.0,3.0,51
0.102,0.0,234.45,0.0,0.0,1.7,8.0,9.0,17.0,0
1.296,0.06,242.15,0.0,18.0,3.6000000000000014,2.0,9.0,9.0,59
0.318,0.136,244.77,0.0,0.0,5.3,4.0,11.0,17.0,8
0.384,0.072,239.11,0.0,0.0,6.4,10.0,11.0,6.0,47
1.786,0.074,241.22,0.0,18.0,11.766666666666666,27.0,2.0,10.0,29
1.376,0.0,238.21,0.0,17.0,5.933333333333334,11.0,7.0,8.0,45
0.514,0.0,237.33,0.0,0.0,8.566666666666666,13.0,11.0,10.0,49
0.498,0.078,242.13,0.0,0.0,8.3,31.0,1.0,13.0,53
0.224,0.098,239.76,0.0,0.0,3.7333333333333334,16.0,7.0,7.0,55
0.38,0.13,244.31,0.0,0.0,6.333333333333333,19.0,4.0,2.0,0
0.728,0.208,242.95,0.0,0.0,12.133333333333333,21.0,3.0,12.0,53
1.2,0.16,233.53,0.0,0.0,20.0,5.0,9.0,12.0,39
1.542,0.17,241.29,0.0,1.0,20.05,27.0,8.0,20.0,50
0.132,0.0,241.37,0.0,0.0,2.2,13.0,9.0,5.0,49
1.408,0.0,242.78,0.0,18.0,5.466666666666665,23.0,1.0,12.0,47
0.366,0.124,244.4,0.0,1.0,5.1,4.0,11.0,2.0,26
0.95,0.132,241.77,0.0,0.0,15.833333333333334,14.0,3.0,23.0,54
2.392,0.396,242.86,3.0,19.0,17.866666666666667,4.0,8.0,11.0,6
0.412,0.178,242.65,0.0,1.0,5.866666666666666,7.0,5.0,13.0,49
0.308,0.252,239.13,2.0,0.0,3.1333333333333337,15.0,4.0,18.0,29
0.646,0.182,240.7,1.0,1.0,8.766666666666667,30.0,6.0,2.0,38
1.202,0.0,233.14999999999998,0.0,16.0,4.033333333333335,8.0,3.0,8.0,54
0.234,0.09,241.17,0.0,1.0,2.9,8.0,6.0,1.0,7
0.466,0.196,242.73,1.0,0.0,6.766666666666667,30.0,9.0,20.0,41
0.274,0.12,241.21,0.0,1.0,3.5666666666666664,7.0,4.0,15.0,15
0.108,0.0,242.92,0.0,0.0,1.8,15.0,8.0,19.0,53
1.202,0.0,239.13,0.0,18.0,2.033333333333335,26.0,9.0,10.0,21
0.14,0.0,242.73,0.0,0.0,2.3333333333333335,6.0,1.0,7.0,22
0.28,0.096,237.22,0.0,0.0,4.666666666666667,14.0,5.0,2.0,48
0.194,0.0,241.28,0.0,1.0,2.2333333333333334,30.0,8.0,8.0,32
0.5,0.05,240.01,2.0,0.0,6.333333333333334,10.0,8.0,17.0,58
0.502,0.136,245.7,0.0,0.0,8.366666666666667,23.0,1.0,2.0,57
0.446,0.116,244.32,0.0,0.0,7.433333333333334,6.0,11.0,0.0,18
0.236,0.084,242.87,2.0,1.0,0.9333333333333331,7.0,7.0,3.0,30
0.342,0.074,245.02,0.0,1.0,4.7,11.0,11.0,4.0,17
1.576,0.078,236.52,0.0,17.0,9.266666666666666,21.0,1.0,10.0,45
0.46,0.0,237.36,1.0,0.0,6.666666666666667,25.0,5.0,15.0,43
1.398,0.216,240.41,1.0,0.0,20.05,13.0,5.0,22.0,54
0.454,0.072,244.33,0.0,1.0,6.566666666666666,19.0,5.0,0.0,45
2.104,0.362,238.78,1.0,29.0,5.06666666666667,9.0,12.0,8.0,17
0.31,0.064,245.65,0.0,0.0,5.166666666666667,25.0,11.0,6.0,23
0.388,0.204,239.97,0.0,0.0,6.466666666666667,4.0,3.0,0.0,26
1.734,0.222,239.09,0.0,1.0,20.05,18.0,1.0,20.0,58
1.332,0.058,244.97,0.0,18.0,4.199999999999999,19.0,11.0,9.0,11
3.3529999999999998,0.096,238.08,0.0,18.0,20.05,25.0,12.0,20.0,47
1.372,0.082,240.14,0.0,18.0,4.866666666666667,7.0,8.0,7.0,8
0.306,0.08,238.61,2.0,0.0,3.0999999999999996,23.0,10.0,18.0,36
1.328,0.0,238.17,0.0,18.0,3.133333333333333,28.0,3.0,9.0,27
0.342,0.1,243.21,0.0,0.0,5.7,21.0,12.0,23.0,17
0.468,0.062,242.51,0.0,0.0,7.8,11.0,6.0,15.0,1
0.22,0.0,242.87,0.0,0.0,3.6666666666666665,2.0,11.0,17.0,5
1.616,0.0,240.46,2.0,18.0,6.933333333333334,14.0,3.0,16.0,24
2.64,0.0,238.53,5.0,17.0,20.05,18.0,1.0,20.0,28
1.582,0.188,243.09,2.0,19.0,5.366666666666667,9.0,3.0,15.0,47
0.224,0.0,240.4,0.0,0.0,3.7333333333333334,2.0,6.0,4.0,45
0.418,0.098,243.27,1.0,1.0,4.966666666666667,5.0,6.0,23.0,5
1.39,0.0,237.97,0.0,18.0,5.166666666666668,28.0,4.0,11.0,25
0.346,0.124,248.0,0.0,1.0,4.766666666666667,11.0,12.0,15.0,26
2.032,0.288,237.52,0.0,27.0,6.866666666666667,10.0,5.0,8.0,27
1.352,0.052,240.87,0.0,18.0,4.533333333333335,9.0,9.0,6.0,56
0.684,0.062,239.8,0.0,1.0,10.4,30.0,10.0,19.0,3
3.208,0.0,233.14999999999998,0.0,16.0,1.4666666666666686,27.0,7.0,8.0,25
0.378,0.286,243.53,0.0,1.0,5.3,9.0,4.0,17.0,3
1.384,0.106,240.84,0.0,18.0,5.066666666666666,28.0,10.0,13.0,41
0.212,0.0,239.52,0.0,0.0,3.533333333333333,28.0,2.0,17.0,41
0.368,0.084,248.75,0.0,0.0,6.133333333333334,11.0,5.0,0.0,7
0.486,0.0,241.15,0.0,1.0,7.1,29.0,5.0,1.0,3
0.24,0.0,243.94,0.0,1.0,3.0,21.0,1.0,3.0,33
1.264,0.09,237.81,0.0,18.0,3.0666666666666664,28.0,8.0,9.0,46
0.114,0.0,242.38,0.0,0.0,1.9,24.0,8.0,5.0,43
1.348,0.106,240.65,0.0,18.0,4.466666666666665,2.0,5.0,8.0,11
0.602,0.22,246.56,2.0,0.0,8.033333333333333,2.0,4.0,13.0,43
0.252,0.0,241.13,0.0,1.0,3.2,6.0,3.0,20.0,48
0.414,0.046,242.67,1.0,1.0,4.9,17.0,2.0,0.0,1
0.636,0.092,240.53,2.0,1.0,7.6,24.0,7.0,12.0,16
1.51,0.226,245.19,1.0,19.0,5.166666666666668,4.0,4.0,3.0,4
0.386,0.214,245.61,2.0,0.0,4.433333333333334,12.0,6.0,4.0,18
0.384,0.19,241.55,0.0,0.0,6.4,27.0,2.0,0.0,21
1.282,0.0,238.49,0.0,19.0,2.366666666666667,10.0,10.0,9.0,52
0.274,0.0,246.06,0.0,0.0,4.566666666666666,14.0,12.0,3.0,45
1.446,0.194,239.62,0.0,17.0,7.100000000000001,31.0,3.0,9.0,50
0.456,0.084,241.78,1.0,1.0,5.6,13.0,9.0,11.0,54
0.654,0.064,239.74,0.0,8.0,2.9000000000000004,26.0,7.0,5.0,31
0.378,0.362,241.43,2.0,0.0,4.3,8.0,2.0,15.0,4
1.214,0.354,236.92,0.0,12.0,7.233333333333334,7.0,2.0,23.0,7
1.27,0.076,240.53,0.0,18.0,3.166666666666668,7.0,6.0,5.0,45
1.71,0.116,239.73,0.0,19.0,9.5,23.0,5.0,6.0,49
0.914,0.046,247.46,0.0,0.0,15.233333333333333,2.0,9.0,14.0,59
1.024,0.41300000000000003,240.42,1.0,12.0,4.066666666666666,29.0,7.0,13.0,15
1.174,0.394,244.87,1.0,0.0,18.566666666666666,2.0,1.0,22.0,20
0.296,0.058,239.77,0.0,1.0,3.9333333333333336,17.0,6.0,14.0,47
3.3529999999999998,0.404,235.77,0.0,17.0,20.05,13.0,1.0,20.0,46
0.308,0.242,238.31,2.0,0.0,3.1333333333333337,5.0,2.0,16.0,35
0.392,0.122,241.98,0.0,1.0,5.533333333333333,9.0,3.0,16.0,18
0.256,0.0,243.35,0.0,0.0,4.266666666666667,28.0,4.0,16.0,32
0.284,0.112,239.53,1.0,0.0,3.7333333333333334,15.0,7.0,10.0,24
3.3529999999999998,0.0,236.31,0.0,18.0,18.1,3.0,12.0,19.0,16
2.27,0.274,239.21,0.0,30.0,7.833333333333336,25.0,5.0,8.0,50
0.532,0.276,238.59,1.0,0.0,7.866666666666667,10.0,11.0,13.0,39
0.288,0.0,244.27,0.0,0.0,4.8,28.0,11.0,6.0,18
0.224,0.0,244.93,0.0,0.0,3.7333333333333334,4.0,1.0,5.0,36
1.414,0.0,238.7,0.0,18.0,5.566666666666666,23.0,6.0,7.0,27
3.128,0.0,235.32,0.0,17.0,20.05,20.0,11.0,20.0,27
1.378,0.076,241.35,0.0,0.0,20.05,21.0,4.0,2.0,22
1.972,0.402,242.36,5.0,0.0,10.866666666666667,16.0,1.0,14.0,46
0.378,0.09,242.08,0.0,1.0,4.3,10.0,4.0,0.0,54
2.156,0.0,240.71,0.0,0.0,20.05,24.0,11.0,19.0,47
2.172,0.188,233.3,0.0,16.0,20.05,25.0,4.0,21.0,11
2.096,0.066,237.0,0.0,17.0,17.93333333333333,16.0,11.0,18.0,20
3.3529999999999998,0.41300000000000003,238.22,5.0,17.0,20.05,11.0,5.0,13.0,29
0.362,0.15,243.68,1.0,0.0,5.033333333333333,16.0,11.0,16.0,50
3.118,0.0,236.24,0.0,17.0,20.05,27.0,11.0,21.0,59
0.14,0.0,243.94,0.0,1.0,1.3333333333333335,26.0,6.0,4.0,52
1.288,0.066,237.88,0.0,17.0,4.466666666666665,10.0,5.0,13.0,37
0.228,0.0,236.36,0.0,1.0,2.8,23.0,10.0,18.0,55
3.3529999999999998,0.112,233.8,5.0,17.0,17.900000000000006,2.0,3.0,22.0,8
0.158,0.12,239.55,0.0,0.0,2.6333333333333333,8.0,6.0,11.0,13
0.304,0.074,236.66,0.0,0.0,5.066666666666666,22.0,5.0,16.0,34
0.416,0.152,243.08,0.0,3.0,3.9333333333333336,19.0,6.0,2.0,20
0.402,0.41300000000000003,241.16,1.0,0.0,4.7,7.0,4.0,22.0,40
0.216,0.0,240.66,0.0,0.0,3.6,3.0,2.0,13.0,52
0.87,0.106,242.01,0.0,1.0,13.5,5.0,9.0,22.0,35
2.358,0.334,236.16,1.0,29.0,9.299999999999997,14.0,7.0,21.0,0
1.072,0.226,241.18,0.0,0.0,17.866666666666667,3.0,4.0,17.0,31
1.588,0.182,237.11,0.0,17.0,9.466666666666665,4.0,2.0,9.0,30
3.3529999999999998,0.07,234.78,0.0,17.0,9.0,2.0,5.0,9.0,23
1.83,0.114,239.83,0.0,17.0,13.5,21.0,1.0,20.0,36
2.008,0.19,239.58,0.0,19.0,14.466666666666669,10.0,6.0,23.0,11
0.722,0.046,247.71,0.0,1.0,11.033333333333333,26.0,1.0,15.0,56
1.692,0.066,244.07,0.0,18.0,10.2,28.0,1.0,10.0,8
1.054,0.364,239.57,1.0,1.0,15.566666666666666,16.0,1.0,18.0,26
0.176,0.0,242.13,0.0,0.0,2.933333333333333,6.0,12.0,11.0,34
0.108,0.0,241.52,0.0,0.0,1.8,23.0,8.0,2.0,13
0.328,0.088,241.96,1.0,1.0,3.466666666666667,5.0,2.0,3.0,46
0.758,0.134,247.7,0.0,1.0,11.633333333333333,1.0,2.0,23.0,10
1.996,0.068,233.51,5.0,0.0,12.266666666666666,24.0,5.0,21.0,8
0.508,0.342,243.93,1.0,0.0,7.466666666666667,24.0,2.0,3.0,47
2.748,0.2,240.41,2.0,18.0,20.05,6.0,12.0,20.0,27
1.564,0.088,243.07,0.0,0.0,20.05,26.0,3.0,21.0,32
1.356,0.06,243.86,0.0,19.0,3.6000000000000014,22.0,10.0,13.0,49
0.304,0.0,247.47,0.0,0.0,5.066666666666666,27.0,1.0,15.0,22
0.546,0.11,240.9,0.0,1.0,8.1,5.0,10.0,11.0,28
0.256,0.074,241.06,1.0,1.0,2.2666666666666666,15.0,9.0,16.0,44
3.3529999999999998,0.188,237.79,0.0,0.0,20.05,23.0,11.0,20.0,56
0.416,0.24,241.28,1.0,0.0,5.933333333333334,25.0,4.0,7.0,35
1.376,0.096,238.51,0.0,18.0,4.933333333333334,29.0,9.0,5.0,47
1.278,0.076,241.13,0.0,18.0,3.3000000000000007,9.0,9.0,8.0,42
0.224,0.0,241.05,0.0,0.0,3.7333333333333334,11.0,6.0,5.0,16
0.48,0.094,241.95,0.0,1.0,7.0,30.0,5.0,1.0,39
0.394,0.23,246.09,0.0,1.0,5.566666666666666,11.0,1.0,2.0,33
2.278,0.178,238.58,0.0,17.0,20.05,15.0,6.0,6.0,56
1.43,0.126,236.98,2.0,17.0,4.833333333333332,10.0,2.0,12.0,52
1.394,0.05,244.05,0.0,18.0,5.233333333333334,12.0,11.0,11.0,29
0.288,0.074,241.66,0.0,0.0,4.8,25.0,3.0,1.0,38
1.84,0.082,240.42,0.0,18.0,12.666666666666668,22.0,3.0,22.0,40
0.17,0.142,241.7,1.0,1.0,0.8333333333333335,25.0,8.0,4.0,59
0.988,0.344,239.43,0.0,12.0,4.466666666666665,28.0,9.0,13.0,40
1.952,0.05,242.07,0.0,0.0,20.05,17.0,12.0,0.0,31
0.484,0.06,246.89,0.0,0.0,8.066666666666666,1.0,1.0,3.0,21
3.3529999999999998,0.238,235.32,0.0,18.0,7.633333333333333,5.0,9.0,18.0,57
0.852,0.268,241.85,0.0,11.0,3.1999999999999993,10.0,4.0,4.0,56
0.082,0.0,242.15,0.0,1.0,0.3666666666666667,17.0,8.0,20.0,51
3.3529999999999998,0.056,239.05,1.0,18.0,4.633333333333333,5.0,8.0,15.0,27
0.142,0.056,240.07,0.0,1.0,1.3666666666666667,23.0,9.0,5.0,4
1.636,0.0,244.16,1.0,19.0,7.266666666666666,16.0,1.0,14.0,7
0.34,0.102,240.12,0.0,0.0,5.666666666666667,19.0,5.0,14.0,47
2.6,0.31,234.92,2.0,17.0,20.05,2.0,2.0,19.0,2
0.248,0.0,244.51,0.0,0.0,4.133333333333334,3.0,1.0,2.0,16
3.3529999999999998,0.0,233.14999999999998,1.0,17.0,20.05,11.0,9.0,20.0,26
0.442,0.226,240.43,1.0,0.0,6.366666666666666,22.0,10.0,18.0,26
0.646,0.22,241.27,0.0,1.0,9.766666666666667,6.0,7.0,2.0,27
0.288,0.05,248.12,0.0,0.0,4.8,22.0,1.0,2.0,30
0.406,0.224,246.44,1.0,0.0,5.766666666666667,4.0,4.0,4.0,27
1.798,0.172,237.42,0.0,1.0,20.05,29.0,9.0,20.0,15
1.522,0.0,243.94,0.0,18.0,7.366666666666667,12.0,8.0,9.0,32
0.246,0.134,242.76,1.0,1.0,2.0999999999999996,20.0,5.0,17.0,48
1.584,0.28,241.6,1.0,13.0,12.399999999999999,7.0,5.0,17.0,19
1.932,0.062,236.27,0.0,17.0,15.200000000000003,2.0,12.0,13.0,12
0.39,0.23,241.54,0.0,0.0,6.5,3.0,1.0,12.0,49
2.206,0.09,239.79,0.0,17.0,19.766666666666666,2.0,1.0,7.0,23
1.426,0.048,241.87,0.0,18.0,5.766666666666666,27.0,2.0,19.0,36
3.3529999999999998,0.0,236.12,0.0,18.0,4.06666666666667,21.0,12.0,10.0,4
0.304,0.072,240.69,0.0,0.0,5.066666666666666,10.0,3.0,13.0,44
1.5,0.056,240.32,0.0,17.0,8.0,25.0,1.0,16.0,4
0.226,0.0,246.33,0.0,0.0,3.7666666666666666,14.0,1.0,3.0,22
0.81,0.32,239.08,5.0,0.0,8.5,9.0,4.0,16.0,51
1.486,0.41300000000000003,243.7,2.0,1.0,20.05,8.0,12.0,20.0,40
0.23,0.0,242.62,0.0,0.0,3.8333333333333335,4.0,7.0,15.0,35
0.336,0.392,243.58,1.0,1.0,3.5999999999999996,24.0,8.0,22.0,55
2.78,0.168,239.87,0.0,19.0,20.05,7.0,11.0,23.0,0
0.228,0.104,237.23,0.0,0.0,3.8,27.0,7.0,4.0,30
0.402,0.204,241.71,0.0,1.0,5.7,25.0,4.0,6.0,50
1.578,0.368,239.49,1.0,18.0,6.300000000000001,7.0,4.0,17.0,35
0.35,0.178,241.57,1.0,0.0,4.833333333333333,7.0,1.0,4.0,59
0.272,0.188,244.4,2.0,1.0,1.5333333333333332,15.0,7.0,22.0,41
1.998,0.41300000000000003,240.51,0.0,0.0,20.05,15.0,1.0,19.0,24
0.17,0.0,236.63,0.0,0.0,2.8333333333333335,8.0,8.0,18.0,31
2.898,0.088,239.38,0.0,1.0,9.299999999999997,25.0,6.0,23.0,9
0.29,0.052,247.64,0.0,0.0,4.833333333333333,1.0,5.0,15.0,37
1.326,0.046,238.72,0.0,18.0,4.100000000000001,26.0,8.0,7.0,43
0.406,0.062,242.93,1.0,0.0,5.766666666666667,15.0,10.0,16.0,46
0.39,0.072,241.61,0.0,1.0,5.5,5.0,12.0,1.0,21
1.642,0.124,245.94,4.0,19.0,4.366666666666667,25.0,3.0,15.0,36
0.54,0.06,236.38,0.0,0.0,9.0,5.0,7.0,13.0,14
0.218,0.0,242.51,0.0,0.0,3.6333333333333333,3.0,3.0,5.0,12
1.3,0.0,238.98,0.0,18.0,3.666666666666668,4.0,11.0,11.0,11
2.902,0.0,238.89,0.0,18.0,20.05,14.0,12.0,8.0,56
1.868,0.15,242.84,0.0,19.0,12.133333333333333,11.0,7.0,22.0,58
0.43,0.116,246.95,0.0,0.0,7.166666666666667,1.0,11.0,15.0,51
0.378,0.212,241.0,0.0,0.0,6.3,28.0,10.0,3.0,17
0.242,0.254,243.92,2.0,1.0,1.0333333333333332,26.0,8.0,23.0,50
2.934,0.108,237.86,0.0,18.0,20.05,10.0,4.0,19.0,56
0.396,0.0,242.63,0.0,1.0,5.6,6.0,11.0,17.0,5
0.234,0.122,242.07,0.0,0.0,3.9,7.0,12.0,5.0,1
0.316,0.078,241.71,1.0,0.0,4.266666666666667,20.0,9.0,18.0,10
2.956,0.41300000000000003,237.01,1.0,17.0,20.05,1.0,2.0,18.0,15
0.242,0.0,242.92,0.0,1.0,3.033333333333333,9.0,7.0,6.0,28
0.116,0.0,239.1,0.0,0.0,1.9333333333333333,5.0,10.0,6.0,39
2.41,0.054,233.14999999999998,0.0,17.0,20.05,19.0,5.0,18.0,16
0.332,0.0,239.66,0.0,0.0,5.533333333333333,20.0,3.0,18.0,40
1.332,0.1,239.25,0.0,18.0,4.199999999999999,23.0,6.0,20.0,28
0.986,0.162,241.66,0.0,1.0,15.433333333333334,11.0,3.0,11.0,56
1.524,0.222,237.05,2.0,0.0,20.05,2.0,8.0,21.0,48
0.186,0.0,242.12,0.0,1.0,2.1,26.0,8.0,22.0,30
0.274,0.098,241.53,0.0,0.0,4.566666666666666,18.0,9.0,1.0,58
3.3529999999999998,0.118,238.06,5.0,17.0,6.966666666666669,27.0,11.0,13.0,18
0.49,0.058,241.09,0.0,1.0,7.166666666666666,6.0,8.0,15.0,59
0.44,0.122,238.66,0.0,1.0,6.333333333333333,30.0,7.0,17.0,28
1.644,0.316,239.65,1.0,12.0,14.399999999999999,16.0,9.0,18.0,53
0.25,0.0,245.31,0.0,1.0,3.166666666666667,12.0,8.0,3.0,52
0.632,0.124,242.28,0.0,1.0,8.533333333333333,30.0,5.0,0.0,39
0.406,0.232,243.55,1.0,0.0,5.766666666666667,9.0,1.0,10.0,8
1.408,0.222,236.8,1.0,17.0,5.466666666666665,20.0,6.0,10.0,23
0.382,0.0,245.0,0.0,1.0,5.366666666666666,30.0,4.0,17.0,20
0.124,0.0,234.92,0.0,0.0,2.066666666666667,26.0,7.0,15.0,28
1.652,0.308,241.7,0.0,0.0,20.05,17.0,12.0,22.0,27
1.424,0.0,244.62,0.0,19.0,4.733333333333334,15.0,2.0,13.0,54
0.268,0.052,244.82,0.0,0.0,4.466666666666667,16.0,1.0,3.0,3
0.422,0.12,243.83,1.0,0.0,6.033333333333333,16.0,4.0,0.0,34
1.382,0.216,241.17,0.0,19.0,4.033333333333335,20.0,6.0,11.0,33
0.874,0.226,242.62,0.0,1.0,13.566666666666666,7.0,9.0,17.0,54
0.492,0.308,245.15,1.0,0.0,7.199999999999999,30.0,9.0,12.0,6
0.266,0.0,242.15,0.0,1.0,3.4333333333333336,10.0,10.0,1.0,34
0.416,0.182,243.55,0.0,0.0,6.933333333333334,10.0,1.0,6.0,12
0.234,0.0,240.96,0.0,1.0,2.9,14.0,5.0,5.0,27
0.366,0.096,242.63,0.0,0.0,6.1,13.0,12.0,23.0,59
0.266,0.0,241.39,0.0,0.0,4.433333333333334,4.0,7.0,13.0,34
0.372,0.092,246.27,0.0,0.0,6.2,19.0,11.0,2.0,26
1.252,0.0,239.22,0.0,18.0,2.866666666666667,7.0,6.0,7.0,31
0.336,0.092,234.62,0.0,0.0,5.6,5.0,4.0,5.0,47
0.974,0.0,244.39,0.0,0.0,16.233333333333334,24.0,11.0,15.0,32
0.306,0.09,242.94,0.0,0.0,5.1,4.0,2.0,1.0,40
0.258,0.0,242.8,0.0,1.0,3.3,4.0,7.0,5.0,33
1.278,0.222,237.37,1.0,18.0,2.3000000000000007,31.0,8.0,14.0,43
1.28,0.0,240.02,0.0,18.0,3.333333333333332,22.0,1.0,10.0,55
1.84,0.41300000000000003,239.22,2.0,18.0,9.666666666666668,7.0,6.0,18.0,5
3.3529999999999998,0.158,237.52,5.0,17.0,20.05,3.0,7.0,11.0,37
2.016,0.086,237.6,0.0,17.0,16.6,17.0,3.0,18.0,29
0.25,0.076,243.36,0.0,0.0,4.166666666666667,6.0,7.0,12.0,23
0.478,0.244,243.27,1.0,1.0,5.966666666666667,5.0,9.0,5.0,24
0.616,0.07,243.51,0.0,1.0,9.266666666666667,4.0,10.0,20.0,19
0.986,0.254,237.32,0.0,0.0,16.433333333333334,14.0,11.0,13.0,2
0.73,0.0,237.33,1.0,0.0,11.166666666666666,10.0,12.0,11.0,19
0.566,0.082,237.56,1.0,0.0,8.433333333333334,3.0,3.0,8.0,47
0.222,0.092,233.14999999999998,0.0,0.0,3.7,17.0,7.0,11.0,24
1.338,0.066,244.85,0.0,18.0,4.300000000000001,31.0,1.0,0.0,5
